benign_malignant,simmetryX,simmetryY,radius,meanR,varianceR,meanG,varianceG,meanB,varianceB
0.0,52182435,38675595,435.4911804199219,22252.17130938511,125277541679.33858,20270.338243561437,103956334588.70059,21697.42921857305,119109283474.85556
0.0,14092830,14089770,153.20758056640625,20475.7119205298,106073381068.14197,14002.464987514928,49606421629.802185,11106.503636955813,31209281255.578556
1.0,29781960,28821120,326.6929931640625,33139.712343617604,277859239481.29126,27687.740617056275,193955798600.1253,28616.993595175198,207193467816.5165
0.0,47174490,52413210,333.8522033691406,34509.850508664735,301310222801.338,24603.427005473262,153150838128.2946,18116.370362508907,83036881204.37564
1.0,21205800,26929530,338.9922790527344,47780.409054937576,577599965598.2155,32527.326655967103,267685275276.437,39276.232231081,390289896421.6293
0.0,24972150,23906250,278.8741455078125,36741.07188386398,341531731333.34064,29301.679653886607,217226495961.65982,24749.940083500656,154980306855.74695
0.0,15234465,16742535,193.60836791992188,30434.32926744461,234344530378.27094,26089.73914797146,172213501079.50064,23736.368516947387,142546580511.51154
0.0,17086785,16192755,183.64447021484375,26768.79373288713,181294681692.82892,22089.519535833806,123452667093.6067,20214.36242339954,103382859235.22308
0.0,27004755,27316875,332.5228576660156,37526.63552514695,356292607616.9265,25145.457029994897,159973194733.72812,18753.653990814415,88981679670.77705
0.0,11791200,11866170,307.9142761230469,34332.376000705735,298218866949.55194,24709.905194848157,154479186600.89816,19161.08230597887,92889866921.14
0.0,8332380,11505090,184.57867431640625,30008.709715305835,227835902598.96262,23621.198910081745,141166556071.94803,19487.394061824674,96080643237.48744
0.0,29078925,27610635,258.041259765625,35038.17960804297,310606424716.86664,26126.605410111046,172700531385.01172,20239.02573412319,103635232433.94666
0.0,9617070,9368190,133.30917358398438,29256.656948740052,216559337904.1408,18097.371850124222,82862657774.14365,16774.2304669675,71189074969.89049
0.0,24656460,19319820,352.8388977050781,39730.366357162995,399367230205.6743,32733.03496239576,271081530817.1102,28172.80981438874,200811223836.79306
0.0,41131755,41381145,256.40704345703125,24207.077701149425,148256184006.62778,19754.075034482757,98728402554.95566,20071.373977011495,101925550882.6806
0.0,45757965,52340535,348.7945251464844,31373.031986564118,249023618546.7948,20528.116609729565,106617020821.21333,15729.11267820677,62594667606.229805
0.0,69407685,50604495,495.6701354980469,38159.08088648892,368402978675.63324,28797.35358308021,209813148162.79468,23890.07316158548,144398553202.83057
0.0,37317720,30014520,484.818359375,34757.90633861124,305657345768.5136,23386.165821616196,138371451702.92398,19832.735188414506,99516270881.02786
0.0,2037960,2009910,499.2587890625,37654.683401926515,358728231426.1168,22279.778178519275,125588570959.93103,19432.75715065422,95542720823.99295
0.0,43859745,49622235,480.02239990234375,41813.58341816091,442345958207.91943,28711.800172514937,208568297929.34735,22150.191285213103,124131719147.43303
1.0,119721225,85204935,599.9636840820312,37844.47629845589,362353416108.2735,28719.9174819134,208686411227.4385,24700.284828852175,154359148883.11816
0.0,76694055,76694055,360.0412902832031,36053.13007670542,328861696954.0542,24987.240250564402,157966209650.75113,21614.558519887883,118200849558.17697
0.0,104654295,98455755,470.8397521972656,45538.239486214894,524662147110.8015,39161.26270705083,388008008627.7923,38972.015318355305,384266987483.113
0.0,39528570,38409630,401.1759338378906,48093.114081969674,585184854373.1185,24209.52696291848,148285977946.93692,24683.588079867888,154150203391.70468
1.0,137083665,90998535,692.33349609375,40929.20595529391,423832165213.8547,32049.155478002893,259872676192.21637,32469.9845207389,266742208443.16238
0.0,38661315,48333975,389.9158020019531,37775.805699890756,361039573762.5467,28334.398521952535,203121357959.41522,23115.622274695248,135188298809.39249
0.0,40739055,29197245,473.8226318359375,27338.390408018586,189092425642.28064,19695.37572396131,98142557630.31313,17372.914868773198,76361460903.39282
1.0,91647255,91875225,513.209228515625,23229.543329226777,136524363857.1408,13635.04306566793,47037337886.11977,11331.43818063883,32486254240.56483
1.0,125062965,122681775,588.5149536132812,38450.40521053472,374050134050.1726,28143.649896108967,200396164096.31824,33513.141664742754,284157194746.18414
1.0,48082035,43153905,523.2173461914062,40458.76481019653,414145356369.93134,29247.32395256403,216421569780.78043,29913.708467793636,226396133488.83902
0.0,30171090,35680110,470.3199462890625,40754.87284724855,420229347738.4197,30824.44937143593,240390954423.43582,27237.528798752173,187699499991.22855
0.0,28513590,36928080,564.4944458007812,34003.17978353822,292527252981.2064,34275.96706306788,297239645465.0658,40160.486036878676,408061158543.4289
0.0,75861480,48085860,446.00823974609375,28029.815847863258,198777852976.62582,20113.33443892285,102351980722.58466,18262.285167754148,84379869181.20825
1.0,103368840,80753400,597.8673706054688,32449.46097853478,266404966456.38748,30217.2019309591,231012773039.51987,35712.41986595622,322675587725.30646
1.0,57472410,53380170,545.61181640625,30947.379975921627,242312407744.68246,29102.100943019523,214277694011.76562,34546.21761654142,301946090984.82025
0.0,132062970,105547560,645.5855102539062,29898.054999068205,226158952530.554,28517.234555534847,205751734307.3121,33001.45953689899,275546783604.2437
0.0,64533870,35473560,687.6693725585938,35751.51987550754,323382576653.867,31269.47380969021,247382792082.9884,32808.54877908563,272334739372.8455
0.0,48518340,45311460,375.8795471191406,22200.638540873537,124697982287.9809,17807.499773708674,80229665572.90967,17824.038501472223,80378768623.09326
